id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2022-1664452,2022-01-19,000001,Vente,555000,7,,RUE SCIPION,8884,75005,75105,Paris 5e Arrondissement,75,,,75105000AS0016,,,28,50.17,,,,,,,,,1,2,Appartement,50,2,,,,,,2.353665,48.838097
2022-1664482,2022-01-11,000001,Vente,550000,2,,RUE DE MIRBEL,6383,75005,75105,Paris 5e Arrondissement,75,,,75105000AT0010,,,48,38.7,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353193,48.840712
2022-1664482,2022-01-11,000001,Vente,550000,2,,RUE DE MIRBEL,6383,75005,75105,Paris 5e Arrondissement,75,,,75105000AT0010,,,48,38.7,,,,,,,,,1,2,Appartement,53,2,,,,,,2.353193,48.840712
2022-1664486,2022-01-18,000001,Vente,126865,19,,RUE DU VAL DE GRACE,9544,75005,75105,Paris 5e Arrondissement,75,,,75105000BF0017,,,15,,,,,,,,,,1,2,Appartement,11,1,,,,,,2.338567,48.841392
2022-1664524,2022-01-18,000001,Vente,227500,73,,RUE MOUFFETARD,6581,75005,75105,Paris 5e Arrondissement,75,,,75105000AL0006,,,102,14.27,,,,,,,,,1,2,Appartement,16,1,,,,,,2.350085,48.842221
2022-1664532,2022-01-21,000001,Vente,2863099,247,,RUE SAINT JACQUES,8648,75005,75105,Paris 5e Arrondissement,75,,,75105000BD0023,,,40,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.341754,48.84245
2022-1664532,2022-01-21,000001,Vente,2863099,2,,RUE DU VAL DE GRACE,9544,75005,75105,Paris 5e Arrondissement,75,,,75105000BG0054,,,12,145.15,2,,,,,,,,2,3,Dépendance,,0,,,,,,2.340685,48.841066
2022-1664532,2022-01-21,000001,Vente,2863099,2,,RUE DU VAL DE GRACE,9544,75005,75105,Paris 5e Arrondissement,75,,,75105000BG0054,,,12,145.15,2,,,,,,,,2,2,Appartement,136,6,,,,,,2.340685,48.841066
2022-1664536,2022-01-20,000001,Vente,2610,25,,RUE JUSSIEU,5130,75005,75105,Paris 5e Arrondissement,75,,,75105000AH0012,,,55,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353959,48.846467
2022-1664547,2022-01-06,000001,Vente,690000,19,,RUE GAY-LUSSAC,3998,75005,75105,Paris 5e Arrondissement,75,,,75105000BH0053,,,6,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.341739,48.845361
2022-1664547,2022-01-06,000001,Vente,690000,19,,RUE GAY-LUSSAC,3998,75005,75105,Paris 5e Arrondissement,75,,,75105000BH0053,,,6,,,,,,,,,,1,2,Appartement,56,3,,,,,,2.341739,48.845361
2022-1664592,2022-01-20,000001,Vente,245000,55,,RUE SAINT JACQUES,8648,75005,75105,Paris 5e Arrondissement,75,,,75105000BO0012,,,24,15.02,,,,,,,,,1,2,Appartement,14,1,,,,,,2.345788,48.850406
2022-1664629,2022-01-11,000001,Vente,410000,80,,RUE MONGE,6432,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0042,,,19,30.81,20,30.81,21,30.81,,,,,3,2,Appartement,45,2,,,,,,2.351826,48.842282
